Final score for writes:           641
Final score for writes:           633
Final score for writes:           633
Final score for writes:           614
Final score for writes:           610
Final score for writes:           623
Final score for writes:           612
Final score for writes:           616
Final score for writes:           639
Final score for writes:           613
Final score for writes:           600
Final score for writes:           631
Final score for writes:           587
Final score for writes:           598
Final score for writes:           607
Final score for writes:           596
Final score for writes:           623
Final score for writes:           620
Final score for writes:           617
Final score for writes:           611
Final score for writes:           645
Final score for writes:           612
Final score for writes:           601
