Final score for writes:           641
Final score for writes:           582
Final score for writes:           605
Final score for writes:           543
Final score for writes:           530
Final score for writes:           581
Final score for writes:           566
Final score for writes:           600
Final score for writes:           544
Final score for writes:           585
Final score for writes:           631
Final score for writes:           603
Final score for writes:           582
Final score for writes:           574
Final score for writes:           571
Final score for writes:           585
Final score for writes:           562
Final score for writes:           510
Final score for writes:           517
Final score for writes:           484
Final score for writes:           487
Final score for writes:           514
Final score for writes:           592
Final score for writes:           557
