Final score for writes:           959
Final score for writes:           922
Final score for writes:           881
Final score for writes:           922
Final score for writes:           845
Final score for writes:           881
Final score for writes:           892
Final score for writes:           875
Final score for writes:           894
Final score for writes:           823
Final score for writes:           927
Final score for writes:           888
Final score for writes:           835
Final score for writes:           820
Final score for writes:           898
Final score for writes:           858
Final score for writes:           867
Final score for writes:           821
Final score for writes:           879
Final score for writes:           859
Final score for writes:           856
Final score for writes:           872
